smiles,00a2afcaf74127670fee80a7ab6abfce,095fb41a59ca6f9f7711a6343b066366,3c201c7b515ba38b493832d7d6ce9bd5,7f73c5dd89b7b6d8ca56c162eee39ae0,80121ad0b332d2951073b235cff9295a,aab458b586520ad6a82e21e396e745fa,ad44e8c3c329d29118132e14ebb7d57f,c6eb716f36a79621c8c73c735dd764f1,d410a79829f7b5969e91eeb2e7aa14d8,ef3b4627f9961bac2d0298e9d8390ece
Brc1ccc(-c2cc3ccccc3o2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.47,0.0,0.0
Brc1ccc(COc2cccc(Br)c2)cc1,0.0,0.0,0.0,6.46,0.0,0.0,0.0,0.0,0.0,0.0
Brc1ccc(OCCOc2ccc3c(c2)OCCO3)cc1,0.0,0.0,0.0,6.03,0.0,0.0,0.0,0.0,0.0,0.0
Brc1ccc(OCCOc2ccc3c(c2)OCO3)cc1,0.0,0.0,0.0,5.15,0.0,0.0,0.0,0.0,0.0,0.0
Brc1cccc(-c2cc3ccccc3o2)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.93,0.0,0.0
Brc1cccc(CNC2CC2c2ccccc2)n1,0.0,0.0,0.0,5.27,0.0,0.0,0.0,0.0,0.0,0.0
Brc1cccc(COc2ccc3c(c2)OCCO3)c1,0.0,0.0,0.0,7.35,0.0,0.0,0.0,0.0,0.0,0.0
Brc1cccc(COc2ccc3c(c2)OCO3)c1,0.0,0.0,0.0,6.79,0.0,0.0,0.0,0.0,0.0,0.0
Brc1cccc(COc2cccc(Br)c2)c1,0.0,0.0,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0
Brc1cccc(OCc2ccccc2)c1,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0
Brc1ccccc1-c1cc2ccccc2o1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.95,0.0,0.0
C#CC(C)N(C)C(C)Cc1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.18,0.0,0.0
C#CCCCCOc1ccc2c(C)cc(=O)oc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.11,0.0,0.0
C#CCCCCOc1ccc2c(c1)NC(=O)CC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28,0.0,0.0
C#CCCCCOc1ccc2cc(-c3ccc(OC)cc3)c(=O)oc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.53,0.0,0.0
C#CCCCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.85,0.0,0.0
C#CCCCCOc1ccc2cc(C(=O)c3ccc(OC)cc3)c(=O)oc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.17,0.0,0.0
C#CCCCCOc1ccc2cc(NC(C)=O)c(=O)oc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38,0.0,0.0
C#CCCCCOc1ccc2ccc(=O)oc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.58,0.0,0.0
C#CCCCCOc1ccc2oc(=O)c(C(=O)OC)cc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91,0.0,0.0
C#CCCCCOc1ccc2oc(=O)c(NC(C)=O)cc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.61,0.0,0.0
C#CCCCOc1ccc2c(C)cc(=O)oc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.74,0.0,0.0
C#CCCCOc1ccc2cc(C(=O)N3CCN(C(=O)OC(C)(C)C)CC3)c(=O)oc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
C#CCCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.08,0.0,0.0
C#CCCCOc1ccc2cc(C(=O)c3ccc(OC)cc3)c(=O)oc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.27,0.0,0.0
C#CCCCOc1ccc2cc(NC(C)=O)c(=O)oc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36,0.0,0.0
C#CCCCOc1ccc2ccc(=O)oc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.04,0.0,0.0
C#CCCCOc1ccc2oc(=O)c(C(=O)OC)cc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,0.0,0.0
C#CCCOc1ccc2cc(C(=O)OC)c(=O)oc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.59,0.0,0.0
C#CCN(C)C(C)Cc1ccc(NCc2cc(Cl)ccc2O)cc1,0.0,0.0,0.0,6.51,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(NCc2cc(O)ccc2O)cc1,0.0,0.0,0.0,6.37,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(NCc2cc(OC)ccc2O)cc1,0.0,0.0,0.0,6.51,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(NCc2cc([N+](=O)[O-])ccc2O)cc1,0.0,0.0,0.0,6.02,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(NCc2ccccc2O)cc1,0.0,0.0,0.0,6.68,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(NCc2ncccc2C)cc1,0.0,0.0,0.0,6.28,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(NCc2ncccc2OC)cc1,0.0,0.0,0.0,6.51,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,0.0,0.0,0.0,6.46,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,0.0,0.0,0.0,6.74,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1,0.0,0.0,0.0,6.89,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,0.0,0.0,0.0,6.78,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1,0.0,0.0,0.0,6.29,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,0.0,0.0,0.0,6.68,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1,0.0,0.0,0.0,5.21,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,0.0,0.0,0.0,5.62,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,0.0,0.0,0.0,5.07,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)cc1,0.0,0.0,0.0,4.96,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCCCNc2c3c(nc4ccccc24)CCCC3)cc1,0.0,0.0,0.0,5.35,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN(C)C(C)Cc1ccc(OCCNc2c3c(nc4ccccc24)CCCC3)cc1,0.0,0.0,0.0,6.16,0.0,0.0,0.0,0.0,0.0,0.0
