smiles,pchembl_value
NCCc1ccc(O)c(O)c1,8.18
COC(=O)C1C(c2ccc(O)c(O)c2)CC2CCC1N2C,6.91
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,6.64
c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,6.78
c1ccc(CCCNC2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,6.64
CN(CCCc1ccccc1)C1CCN(CCOC(c2ccccc2)c2ccccc2)CC1,6.75
c1ccc(CCCNCC2CCCN(CCOC(c3ccccc3)c3ccccc3)C2)cc1,7.32
Fc1ccc(CCN2CCCC(CNCCOC(c3ccccc3)c3ccccc3)C2)cc1,6.7
CN(CCOC(c1ccccc1)c1ccccc1)C1CCN(CCCc2ccccc2)CC1,6.7
Fc1ccc(CCNCC2CCCN(CCOC(c3ccccc3)c3ccccc3)C2)cc1,6.72
c1ccc(CCCN2CCCC(CNCCOC(c3ccccc3)c3ccccc3)C2)cc1,7.01
c1ccc(CN2CCC(NCCOC(c3ccccc3)c3ccccc3)CC2)cc1,7.06
Fc1ccc(CCNC2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,6.77
COC(=O)C(c1ccccc1)C1CCCCN1,6.1
CCOC(=O)C(c1ccccc1)C1CCCCN1,5.43
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,6.08
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2cccc(C(N)=O)c21,5.94
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc([N+](=O)[O-])cc21,5.54
CNC(=O)c1ccc2c(c1)C(c1ccc(Cl)c(Cl)c1)CCC2NC,5.3
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2cc(C(=O)O)c(NS(C)(=O)=O)cc21,5.04
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21,7.96
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(CNS(C)(=O)=O)cc21,6.02
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2cccc(C(=O)O)c21,6.06
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(S(=O)(=O)NC)cc21,5.9
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(CC(N)=O)cc21,6.04
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(S(=O)(=O)N(C)C)cc21,5.57
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(C(=O)OC)cc21,5.9
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(CO)cc21,6.01
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2cc(C(N)=O)c(NS(C)(=O)=O)cc21,5.68
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2cc(C(N)=O)ccc21,5.96
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(S(C)(=O)=O)cc21,5.68
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2cc(C(=O)N(C)C)ccc21,4.94
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2cc([S+](C)[O-])ccc21,5.75
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(S(=O)(=O)NCCO)cc21,6.27
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(NS(C)(=O)=O)cc21,7.22
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(C#N)cc21,5.5
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(-n3ccnn3)cc21,6.19
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(O)cc21,6.17
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc([S+](C)[O-])cc21,5.7
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(C[S+](C)[O-])cc21,6.35
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(CC(=O)O)cc21,5.02
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2cc(S(N)(=O)=O)ccc21,5.68
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2cc(S(C)(=O)=O)ccc21,5.38
CNC(=O)c1ccc2c(c1)C(NC)CCC2c1ccc(Cl)c(Cl)c1,6.36
CNC(=O)c1cccc2c1C(NC)CCC2c1ccc(Cl)c(Cl)c1,5.82
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2cc(C(=O)O)ccc21,4.69
CCOc1ccccc1CC(c1cncs1)N1CCNCC1,7.68
CCOc1ccccc1CC(c1ccccc1)N1CCNCC1,7.8
Clc1ccc(Cl)c(CC(c2ccccc2)N2CCNCC2)c1,6.92
CNCCC(Oc1cccc2ccccc12)c1cccs1,7.72
Clc1cccc(CC(c2ccccc2)N2CCNCC2)c1Cl,7.0
CCOc1ccccc1CC(c1cccnc1)N1CCNCC1,7.82
CCOc1ccccc1CC(c1ccccc1)N1CCCNCC1,8.06
CCOc1ccccc1CC(c1nccs1)N1CCNCC1,6.47
Clc1ccccc1CC(c1cncs1)N1CCNCC1,6.92
Fc1cccc(C(Cc2ccccc2Cl)N2CCNCC2)c1,7.6
Fc1ccc(C(Cc2ccccc2Cl)N2CCNCC2)cc1,7.03
Clc1ccccc1CC(c1ccccc1)N1CCNCC1,7.72
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,5.28
CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,7.96
Clc1ccccc1CC(c1ccccc1)N1CCCNCC1,7.12
Clc1ccccc1CC(c1nccs1)N1CCNCC1,7.35
CCOc1ccccc1CC(c1ccccc1F)N1CCNCC1,7.42
Clc1cccc(Cl)c1CC(c1ccccc1)N1CCNCC1,7.09
Clc1ccccc1CC(c1cccnc1)N1CCNCC1,7.12
c1ccc(CCC(Cc2ccccc2)N2CCNCC2)cc1,7.32
CCOc1ccccc1CC(c1ccc(F)cc1)N1CCNCC1,7.55
Oc1cccc(CC(c2ccccc2)N2CCNCC2)c1,7.85
Cc1ccccc1CC(c1ccccc1)N1CCNCC1,7.05
CS(=O)(=O)c1ccccc1CC(c1ccccc1)N1CCNCC1,6.57
N#Cc1ccccc1CC(c1ccccc1)N1CCNCC1,7.14
CCCOc1ccccc1CC(c1ccccc1)N1CCNCC1,7.51
FC(F)(F)c1ccccc1CC(c1ccccc1)N1CCNCC1,7.51
CCc1ccccc1CC(c1ccccc1)N1CCNCC1,7.14
Brc1ccccc1CC(c1ccccc1)N1CCNCC1,7.46
c1ccc(CC(c2ccccc2)N2CCNCC2)cc1,7.41
COc1cccc(CC(c2ccccc2)N2CCNCC2)c1,6.89
FC(F)(F)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,7.42
Clc1cccc(CC(c2ccccc2)N2CCNCC2)c1,7.27
FC(F)(F)COc1ccccc1CC(c1ccccc1)N1CCNCC1,7.21
N#Cc1cccc(CC(c2ccccc2)N2CCNCC2)c1,6.52
CN(C)C1CC=C(c2c[nH]c3ccc(C#N)cc23)CC1,7.43
Cc1ccccc1CN(C1CCOCC1)C1CCNC1,8.15
Clc1cccc(CN(Cc2ccccn2)C2CCNC2)c1Cl,8.52
COc1cccc(CN(C2CCOCC2)C2CCNC2)c1C,7.96
Cc1cccc(CN(Cc2ccccn2)C2CCNC2)c1C,8.1
Clc1cccc(CN(C2CCOCC2)C2CCNC2)c1Cl,8.3
FC(F)(F)c1ccccc1CN(C1CCOCC1)C1CCNC1,8.05
Clc1cccc(CN(CC2CC2)C2CCNC2)c1Cl,8.05
Fc1ccc(CN(C2CCOCC2)C2CCNC2)c(F)c1F,7.4
Cc1c(CN(C2CCOCC2)C2CCNC2)cccc1C(F)(F)F,7.7
Cc1cccc(CN(C2CCOCC2)C2CCNC2)c1Cl,8.4
Cc1c(Cl)cccc1CN(C1CCOCC1)C1CCNC1,8.3
c1ccc(-c2ccccc2CN(C2CCOCC2)C2CCNC2)cc1,7.92
CNCc1cnc(C)cc1Oc1ccc(C)cc1OC,6.59
CCOc1cc(Cl)ccc1Oc1ccncc1CNC,6.41
CNCc1cnc(C)cc1Oc1ccc(Cl)cc1Br,7.42
CCc1cc(Cl)ccc1Oc1ccncc1CN(C)C,7.75
COc1cc(Cl)ccc1Oc1ccncc1CN(C)C,7.33
CNCc1cnc(C)cc1Oc1ccc(Cl)cc1C,7.29
CNCc1cnccc1Oc1ccc(Cl)cc1C,6.61
CNCc1cnccc1Oc1ccc(Cl)cc1OC,6.55
Cc1cc(Oc2ccc(Cl)cc2C)c(CN(C)C)cn1,7.58
CNCc1cc(C(=O)N(C)C)ccc1Oc1ccc(Cl)cc1OC,7.5
CCc1cc(Cl)ccc1Oc1ccncc1CNC,7.07
CN(C)Cc1cnccc1Oc1ccc(Cl)cc1Cl,7.6
CCc1cc(Cl)ccc1Oc1cc(C)ncc1CN(C)C,7.52
CNCc1cnccc1Oc1ccc(Cl)cc1Br,7.07
CCc1cc(Cl)ccc1Oc1cc(C)ncc1CNC,7.66
CNCc1cnc(C)cc1Oc1ccc(Cl)cc1OC,7.08
COc1cc(Cl)ccc1Oc1cc(C)ncc1CN(C)C,7.58
CN(C)Cc1cnccc1Oc1ccc(Cl)cc1Br,7.58
C=C(F)CN(CCOC)C(=O)C1(c2ccsc2)CC1CN,8.41
C=C(F)CN(C)C(=O)C1(c2ccsc2)CC1CN,7.36
CCN(CC)C(=O)C1(c2nc3ccccc3s2)CC1CN,5.66
CCN(CC)C(=O)C1(c2cccs2)CC1CN,7.12
NCC1CC1(C(=O)N1C=COc2ccccc21)c1ccsc1,7.92
CCN(CC)C(=O)C1(c2ccsc2)CC1CNC,5.43
C=CCN(C)C(=O)C1(c2ccsc2)CC1CN,7.0
COCCN(C)C(=O)C1(c2ccsc2)CC1CN,5.96
CCN(CC)C(=O)C1(c2csc3ccccc23)CC1CN,6.77
CCN(CC)C(=O)C1(c2cccnc2)CC1CN,5.82
CCN(CC)C(=O)C1(c2cc3cc(F)ccc3s2)CC1CN,6.82
C=CCN(CCOC)C(=O)C1(c2ccsc2)CC1CN,7.7
CCN(CC)C(=O)C1(c2cc(Cl)c(Cl)s2)CC1CN,6.25
NCC1CC1(C(=O)C1NCc2ccccc21)c1ccsc1,7.43
CCN(CC)C(=O)C1(c2ccccn2)CC1CN,5.82
NCC1CC1(C(=O)N1CCCc2ccccc21)c1ccsc1,7.7
NCC1CC1(C(=O)N1C=CCCC1)c1ccsc1,6.7
C=CCN(CC=C)C(=O)C1(c2ccsc2)CC1CN,8.57
C#CCN(C)C(=O)C1(c2ccsc2)CC1CN,6.96
C#CCN(CC#C)C(=O)C1(c2ccsc2)CC1CN,8.09
C=CCN(C(=O)C1(c2ccsc2)CC1CN)C1CC1,8.06
NCC1CC1(C(=O)N1CCc2ccccc2C1)c1ccsc1,8.08
CCN(CC)C(=O)C1(c2cc3ccccc3s2)CC1CN,7.19
CCN(CC)C(=O)C1(c2ccsc2)CC1CN,7.31
C=CN(CC)C(=O)C1(c2ccc3c(c2)OCCO3)CC1CN,8.54
C#CCN(CCOC)C(=O)C1(c2ccsc2)CC1CN,7.19
CCN(CC)C(=O)C1(c2ccc(Cl)s2)CC1CN,7.4
CCN(CC)C(=O)C1(c2ccccc2)CC1CN,7.4
C#CCN(CC=C)C(=O)C1(c2ccsc2)CC1CN,8.55
CN(C)C1CC(Oc2ccccc2)c2ccccc21,6.1
CNCCC(Oc1ccccc1OC)c1ccccc1,7.82
Cc1ccccc1OC1CC(N(C)C(C)C)c2ccccc21,5.96
NC1CC(Oc2ccc(Cl)cc2)c2ccccc21,5.4
CCN(CC)C1CC(Oc2ccccc2C)c2ccccc21,5.7
COc1ccc(OC2CC(N(C)C)c3ccccc32)cc1,5.22
CNC1CCC(Oc2ccccc2C)c2ccccc21,6.28
CNC1CC(Oc2ccccc2)c2ccccc21,5.7
CNC1CC(Oc2ccc(Cl)cc2)c2ccccc21,5.4
Cc1ccccc1OC1CCC(N)c2ccccc21,6.2
Cc1ccccc1OC1CC(N)c2ccccc21,6.08
CNCCC(Oc1ccccc1C)c1ccccc1,8.3
CN(C)C1CC(Oc2ccc(Cl)cc2)c2ccccc21,5.8
CCNC1CC(Oc2ccccc2C)c2ccccc21,5.52
CNC1CC(Oc2ccccc2C)c2ccccc21,7.14
NC1CC(Oc2ccccc2)c2ccccc21,5.3
Cc1ccccc1OC1CC(N(C)C)Cc2ccccc21,6.37
C=C(F)CN(CC)C(=O)C1(c2cccs2)CC1CN,8.36
C#CCN(CC#C)C(=O)C1(c2cccs2)CC1CN,8.22
C#CCN(CC)C(=O)C1(c2cccs2)CC1CN,7.72
C=CCN(C(=O)C1(c2cccs2)CC1CN)C1CC1,7.77
NCC1CC1(C(=O)N1Cc2ccccc2C1)c1cccs1,7.68
C=CCN(Cc1nccs1)C(=O)C1(c2cccs2)CC1CN,7.89
C=CCN(CC)C(=O)C1(c2cccs2)CC1CN,7.82
C=CCN(CC=C)C(=O)C1(c2cccs2)CC1CN,8.64
CN(C)Cc1ccccc1Oc1cccc(Cl)c1,7.09
