smiles,pchembl_value
NCCc1ccc(O)c(O)c1,8.18
COC(=O)C1C(c2ccc(O)c(O)c2)CC2CCC1N2C,6.91
N#Cc1ccc(CCOC(=O)NC2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,5.94
O=C1NCN(c2ccccc2)C12CCN(Cc1cccc(Oc3ccccc3)c1)CC2,5.55
O=C(OCc1cc2c(cc1Cl)OCO2)N1CCC(n2c(O)nc3ccccc32)CC1,5.52
O=C(Cc1ccccc1)NCCCNCCOC(c1ccc(F)cc1)c1ccc(F)cc1,6.72
Fc1ccc(C(OCCNCCCNCCc2ccccc2)c2ccc(F)cc2)cc1,6.94
O=C(CCc1ccccc1)NCCNCCOC(c1ccc(F)cc1)c1ccc(F)cc1,6.69
CN(CCCN(C)CCc1ccccc1)CCOC(c1ccccc1)c1ccccc1,6.68
CN(CCCc1ccccc1)CCCN(C)CCOC(c1ccccc1)c1ccccc1,6.84
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,6.64
CN(CCOC(c1ccccc1)c1ccccc1)CCN(C)CCc1ccc(F)cc1,6.55
O=C(Cc1ccc(F)cc1)NCCNCCOC(c1ccc(F)cc1)c1ccc(F)cc1,6.52
O=C(Cc1ccccc1)NCCNCCOC(c1ccc(F)cc1)c1ccc(F)cc1,6.4
CN(CCOC(c1ccc(F)cc1)c1ccc(F)cc1)CCN(C)CCOC(c1ccc(F)cc1)c1ccc(F)cc1,5.58
c1ccc(CCCN2CCCC(CNCCOC(c3ccccc3)c3ccccc3)C2)cc1,7.01
CN(CCCc1ccccc1)C1CCN(CCOC(c2ccccc2)c2ccccc2)CC1,6.75
CN(CCOC(c1ccccc1)c1ccccc1)C1CCN(CCCc2ccccc2)CC1,6.7
Fc1ccc(CCNC2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,6.77
Fc1ccc(CCNCC2CCCN(CCOC(c3ccccc3)c3ccccc3)C2)cc1,6.72
Fc1ccc(CCN2CCCC(CNCCOC(c3ccccc3)c3ccccc3)C2)cc1,6.7
c1ccc(CCCNC2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,6.64
CN(CCc1ccc(F)cc1)CC1CCCN(CCOC(c2ccccc2)c2ccccc2)C1,6.46
c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,6.78
c1ccc(CCCNCC2CCCN(CCOC(c3ccccc3)c3ccccc3)C2)cc1,7.32
c1ccc(CN2CCC(NCCOC(c3ccccc3)c3ccccc3)CC2)cc1,7.06
COc1ccc2c(c1)C(O)(c1ccc(Cl)cc1)N1CCN=C21,8.84
COc1ccc(C2(O)c3ccccc3C3=NCCCN32)cc1,8.39
Clc1ccc(C2c3ccccc3C3=NCCN32)cc1,8.16
OC1(c2ccc(Cl)cc2)c2cccc(F)c2C2=NCCN21,8.3
COc1cccc2c1C1=NCCN1C2(O)c1ccc(Cl)cc1,8.33
OC1(c2ccc(Cl)cc2)c2cc(Cl)c(Cl)cc2C2=NCCN21,8.0
COc1cccc2c1C(O)(c1ccc(Cl)cc1)N1CCN=C21,8.76
OC1(c2ccc3c(c2)OCO3)c2ccccc2C2=NCCCN21,9.21
OC1(c2ccccc2)c2ccccc2C2=NCCN21,8.55
Oc1ccc(C2(O)c3ccccc3C3=NCCCN32)cc1,8.72
COC(=O)C(c1ccccc1)C1CCCCN1,7.29
CCOC(=O)C(c1ccccc1)C1CCCCN1,6.54
CCCC(C(=O)c1ccc(Br)cc1)N1CCCC1,7.08
C#CCC(C(=O)c1ccc(C)cc1)N1CCCC1,6.46
CCCC(C(=O)c1ccccc1C)N1CCCC1,7.71
CCCC(C(=O)c1ccc(O)cc1)N1CCCC1,7.06
CCCC(C(=O)c1ccc(-c2ccco2)cc1)N1CCCC1,7.03
CCCC(C(=O)c1ccc(C(=O)OC)cc1)N1CCCC1,7.64
CCCC(C(=O)c1ccc(Cl)c(Cl)c1)N1CCCCC1,6.1
CCCC(C(=O)c1ccc(CO)cc1)N1CCCC1,7.91
CCCC(C(=O)c1ccc(F)cc1)N1CCCC1,6.77
C=CCC(C(=O)c1ccc(C)cc1)N1CCCC1,7.06
CC#Cc1ccc(C(=O)C(CCC)N2CCCC2)cc1,7.71
CCCC(C(=O)c1ccc(O)c(O)c1)N1CCCC1,8.12
CCCC(C(=O)c1ccc(C)cc1)N1CCCC1,7.95
C=CCC(C(=O)c1ccc(Cl)c(Cl)c1)N1CCCC1,7.6
CCCC(C(=O)c1ccc(NC(C)=O)cc1)N1CCCC1,6.5
Cc1ccc(C(=O)C(CC(C)C)N2CCCC2)cc1,7.75
CCCC(C(=O)c1cccc(C)c1)N1CCCC1,8.03
CCCC(C(=O)c1ccc(I)cc1)N1CCCC1,7.33
CCCC(C(=O)c1ccc(-c2cccs2)cc1)N1CCCC1,6.58
CCC(C(=O)c1ccc(Cl)c(Cl)c1)N1CCCC1,7.73
CCCC(C(=O)c1ccc2ccccc2c1)N1CCCC1,7.93
CCCC(C(=O)c1ccccc1)N1CCCC1,7.25
CCCC(C(=O)c1ccc([N+](=O)[O-])cc1)N1CCCC1,6.28
CCCC(C(=O)c1ccc(OC)cc1)N1CCCC1,6.63
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(S(=O)(=O)NCCO)cc21,6.27
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2cccc(C(=O)O)c21,6.06
CNC(=O)c1ccc2c(c1)C(c1ccc(Cl)c(Cl)c1)CCC2NC,5.3
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(C(N)=O)cc21,6.39
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2cc(C(=O)O)c(NS(C)(=O)=O)cc21,5.04
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(-n3ccnn3)cc21,6.19
CNC(=O)c1ccc2c(c1)C(NC)CCC2c1ccc(Cl)c(Cl)c1,6.36
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(C[S+](C)[O-])cc21,6.35
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc([N+](=O)[O-])cc21,5.54
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(-n3cncn3)cc21,6.12
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(C(=O)N(C)C)cc21,6.57
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(O)cc21,6.17
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc([S+](C)[O-])cc21,5.7
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2cc(S(N)(=O)=O)ccc21,5.68
CNC(=O)c1cccc2c1C(NC)CCC2c1ccc(Cl)c(Cl)c1,5.82
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(S(C)(=O)=O)cc21,5.68
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2cc(C(N)=O)c(NS(C)(=O)=O)cc21,5.68
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2cc([S+](C)[O-])ccc21,5.75
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(S(=O)(=O)NC)cc21,5.9
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(C(=O)OC)cc21,5.9
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2cccc(C(N)=O)c21,5.94
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(NS(C)(=O)=O)cc21,7.22
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(C#N)cc21,5.5
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2cc(C(N)=O)ccc21,5.96
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2cc(C(=O)N(C)C)ccc21,4.94
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2cc(S(C)(=O)=O)ccc21,5.38
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2cc(C(=O)O)ccc21,4.69
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(CC(=O)O)cc21,5.02
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(CO)cc21,6.01
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21,7.96
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(CNS(C)(=O)=O)cc21,6.02
CCOc1ccccc1CC(c1nccs1)N1CCNCC1,6.47
Clc1ccccc1CC(c1nccs1)N1CCNCC1,7.35
CCOc1ccccc1CC(c1ccccc1)N1CCCNCC1,8.06
c1ccc(CCC(Cc2ccccc2)N2CCNCC2)cc1,7.32
CCOc1ccccc1CC(c1cccnc1)N1CCNCC1,7.82
CCOc1ccccc1CC(c1ccc(F)cc1)N1CCNCC1,7.55
CCOc1ccccc1CC(c1cccc(F)c1)N1CCNCC1,7.66
Clc1ccc(Cl)c(CC(c2ccccc2)N2CCNCC2)c1,6.92
CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,7.96
Fc1ccccc1C(Cc1ccccc1Cl)N1CCNCC1,6.89
Clc1ccccc1CC(c1ccccc1)N1CCCNCC1,7.12
Clc1ccccc1CC(c1cccnc1)N1CCNCC1,7.12
Clc1cccc(Cl)c1CC(c1ccccc1)N1CCNCC1,7.09
Clc1ccccc1CC(c1cncs1)N1CCNCC1,6.92
Fc1cccc(C(Cc2ccccc2Cl)N2CCNCC2)c1,7.6
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,5.28
Clc1ccccc1CC(c1ccccc1)N1CCNCC1,7.72
CCOc1ccccc1CC(c1cncs1)N1CCNCC1,7.68
Fc1ccc(C(Cc2ccccc2Cl)N2CCNCC2)cc1,7.03
Clc1cccc(CC(c2ccccc2)N2CCNCC2)c1Cl,7.0
[2H]C([2H])([2H])Oc1cccc(C2(O)CCCCC2CN(C([2H])([2H])[2H])C([2H])([2H])[2H])c1,5.7
[2H]C([2H])([2H])N(CC1CCCCC1(O)c1cccc(OC)c1)C([2H])([2H])[2H],5.5
COc1cccc(C2(O)CCCCC2CN(C)C)c1,6.1
CN1C2CCC1C1COC(=O)CCCCCCCCC(=O)Nc3ccc(cc3)C1C2,5.55
CN1CCCCCCCCCC(=O)OCC2C(CC3CCC2N3C)c2ccc1cc2,5.67
CN1C2CCC1C1COC(=O)CCC3(CCC(=O)Nc4ccc(cc4)C1C2)c1ccccc1-c1ccccc13,6.01
COC(=O)C1C(c2ccccc2)CC2CCC1N2C,6.04
CN1C2CCC1C1COC(=O)CCSCCC(=O)Nc3ccc(cc3)C1C2,6.0
CN1C2CCC1C1COC(=O)CCCCCCCCCCC(=O)Nc3ccc(cc3)C1C2,5.63
CN1C2CCC1C1COC(=O)CCC(=O)CCC(=O)Nc3ccc(cc3)C1C2,5.85
c1ccc(CC(c2ccccc2)N2CCNCC2)cc1,7.41
FC(F)(F)c1ccccc1CC(c1ccccc1)N1CCNCC1,7.51
Brc1ccccc1CC(c1ccccc1)N1CCNCC1,7.46
N#Cc1cccc(CC(c2ccccc2)N2CCNCC2)c1,6.52
Oc1cccc(CC(c2ccccc2)N2CCNCC2)c1,7.85
FC(F)(F)COc1ccccc1CC(c1ccccc1)N1CCNCC1,7.21
Clc1cccc(CC(c2ccccc2)N2CCNCC2)c1,7.27
Cc1ccccc1CC(c1ccccc1)N1CCNCC1,7.05
CCc1ccccc1CC(c1ccccc1)N1CCNCC1,7.14
CS(=O)(=O)c1ccccc1CC(c1ccccc1)N1CCNCC1,6.57
FC(F)(F)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,7.42
COc1cccc(CC(c2ccccc2)N2CCNCC2)c1,6.89
CCCOc1ccccc1CC(c1ccccc1)N1CCNCC1,7.51
N#Cc1ccccc1CC(c1ccccc1)N1CCNCC1,7.14
CN1C2C=C(c3cccc(-c4ccccc4)c3)CC1CC2,4.64
CN1C2C=C(c3c[nH]c4ccccc34)CC1CC2,5.4
CN1C2CCC1CC(O)(c1cccc(-c3ccccc3)c1)C2,4.38
C[N+]1(CCl)C2C=C(c3ccccc3-c3ccccc3)CC1CC2,5.7
CN1C2CCC1CC(O)(C1c3ccccc3-c3ccc(Br)cc31)C2,4.2
CN1C2CCC1CC(O)(c1ccccc1-c1ccccc1)C2,4.18
CN1C2C=C(c3ccc4c(c3)Cc3ccccc3-4)CC1CC2,5.47
COc1ccc(C(CN(C)C)[Si]2(O)CCCCC2)cc1,6.7
CNCCCC1c2ccccc2C=Cc2ccccc21,8.96
CN(C)CC1C2CCC(CC2)C1c1cccc(Cl)c1,7.66
CN(C)CC1C2CCC(C2)C1c1ccc2ccccc2c1,7.6
CN1C2CCC1C(c1ncc(-c3ccc(Br)cc3)s1)C(c1ccc(Cl)cc1)C2,6.02
Cc1ccc(C2CC3CCC(C2c2ncc(-c4ccc(Br)cc4)s2)N3C)cc1,5.74
CN1C2CCC1C(c1ncc(-c3cccc(Br)c3)s1)C(c1ccc(Cl)cc1)C2,5.64
Cc1ccc(C2CC3CCC(C2c2ncc(-c4ccc(F)cc4)s2)N3C)cc1,5.31
