smiles,04cf6063681470aeaca2fd8fa781a49d,08db82d861b671e7327435adb0af8d8b,10249dfe8e48157d7277cdb0bc7d7571,177e811e75430142a666759fd698b6e5,2192e905b7e209b10aa62d82e19ea7d9,21fc6fdbbc32e9dacc6e1b0cb2e64891,221c160cdc5b9053e96bda0e2f5a46d8,2ee9d01002a8b25fd6bb2b7dda1ab46f,34416ab9288a0f1de4736f52c7857e06,5b0fe37d404cd3c110d464704646dcec,620b5ed985061392ed8aae9f9528d061,623fd37ba830be781c158cda306a7fec,6ca673946935809de97f788926b01dd0,6ce3ba6fb1aec5586b0e8d706b67570f,6dd4ce6321c9ebb0871a736d79174810,6fa320bfcd6509c7afae3ec8401badd8,750c44ea570e336935edbe8acac0bf2c,78d09c9bdd2584d3854a898d227d641f,7f73c5dd89b7b6d8ca56c162eee39ae0,83391bd0abb838e6c88e353d3fbb3314,861af5a7cbd98431946295e409dc7290,93411e5dfe32b461732e76df488a6224,950edee628a799c6d21b79616a3c2922,97fdc840b98ee1cb9fb2fd20f7399881,9a0ea9c5d064d5578aba12a00c1e51d1,aab458b586520ad6a82e21e396e745fa,ac763d08b7e1cb90c999ecb8b2f602af,bf615fc2b04369c84661b7e8b940d315,c6eb716f36a79621c8c73c735dd764f1,c892e7d3c9dfd5c4cef2e8a72df8f8ba,d2bb6d3d58b1bcb29df748e0c133c4f1,de4ea86d93119b0ed700c0fefbdba03a,efc372c7ca16a5c6683e34d1eb239f0d,efdab7795e886d634fe5f2be68e06845,f44c9a80fe8432cdd36d142948ceff54,f4898bceea477e25420b04a00c3c0c77,fdec110d610fe1b09f58d831c373b615
C#CCCCCC(=O)NCCNC(=O)COc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCCCCNC(=O)C12CCC(c3nc4c(=O)n(CCCC)c(=O)n(CCCNC(=O)c5ccc(S(=O)(=O)F)cc5)c4[nH]3)(CC1)CC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.81,0.0,9.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCCCCNC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCN1CCC(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)CC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCNC(=O)C12CCC(c3nc4c(=O)n(CCCC)c(=O)n(CCC)c4[nH]3)(CC1)CC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.36,0.0,7.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCNC(=O)C12CCC(c3nc4c(=O)n(CCCC)c(=O)n(CCCNC(=O)c5ccc(S(=O)(=O)F)cc5)c4[nH]3)(CC1)CC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.58,0.0,6.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCOc1cccc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCn1c(=O)c2c(nc(C=Cc3cccc(OC)c3)n2C)n(CCCO)c1=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCn1c(=O)c2c(nc3n2CCCN3C2CCC2)n(C)c1=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
