smiles,pchembl_value
Oc1ccc2c3c1OC1c4[nH]c5ccccc5c4CC4(O)C(C2)N(CC2CC2)CCC314,9.7
CN1CCC23c4c5ccc(O)c4OC2c2c(c(-c4ccccc4)cn2Cc2ccccc2)CC3(O)C1C5,6.94
Cc1c(-c2ccccc2)c2c(n1Cc1ccccc1)C1Oc3c(O)ccc4c3C13CCN(CC1CC1)C(C4)C3(O)C2,7.76
Oc1ccc2c3c1OC1c4[nH]cc(-c5ccccc5)c4CC4(O)C(C2)N(CC2CC2)CCC314,8.57
C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,7.39
CNC(c1cccc(O)c1)C(C)(C)C(=O)NCc1cccc2ccccc12,6.79
CN(CC1CC1)C(c1cccc(O)c1)C(C)(C)C(=O)NCCc1ccccc1,6.15
O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,7.22
NC(=O)c1ccc2c(c1O)C13CCN(CC4CCC4)C(C2)C1(O)CCC(=O)C3,8.38
O=C1CCC2(O)C3Cc4ccc(O)c(O)c4C2(CCN3CC2CC2)C1,6.89
COc1c(C(N)=O)ccc2c1C13CCN(CC4CC4)C(C2)C1(O)CCC(=O)C3,6.32
NC(=O)c1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(CC2CC2)CCC314,6.26
NC(=O)c1ccc2c(c1O)C13CCN(CC4CC4)C(C2)C1(O)CCC(=O)C3,8.59
C=CCN(C)C1CCc2ccc(O)cc2C1(C)C,5.65
CCCN(C)C1CCc2ccc(O)cc2C1(C)C,5.68
COC1Cc2ccc(O)cc2C(C)(C)C1NCC=Cc1ccccc1,7.65
CC1(C)c2cc(O)ccc2CCC1N(CC1CC1)CC1CC1,5.24
CC1(C)c2cc(O)ccc2CCC1NCC1CC1,5.42
CN(CC1CC1)C1CCc2ccc(O)cc2C1(C)C,6.22
C=CCNC1CCc2ccc(O)cc2C1(C)C,5.23
COC1Cc2ccc(O)cc2C(C)(C)C1N,5.61
CCCN(CCC)C1CCc2ccc(O)cc2C1(C)C,5.57
C=CCN(CC=C)C1CCc2ccc(O)cc2C1(C)C,6.17
Oc1ccc2c3c1OC1c4[nH]c5c(c4CC4(O)C(C2)N(CC2CC2)CCC314)CC1(O)C2Cc3ccc(O)c4c3C1(CCN2CC1CC1)C5O4,8.24
Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCCO1)CC3,9.57
CN1CCC23CCCCC2C1Cc1ccc(O)cc13,8.38
C#CCN1CCC23CCCCC2C1Cc1ccc(OC(=O)CCCCCCCCC(=O)Oc2ccc4c(c2)C25CCCCC2C(C4)N(CC#C)CC5)cc13,6.72
