smiles,pchembl_value
c1ccc(CN2CCC(NCCOC(c3ccccc3)c3ccccc3)CC2)cc1,tensor([6.5700])
Fc1ccc(CCN2CCCC(CNCCOC(c3ccccc3)c3ccccc3)C2)cc1,tensor([6.3000])
Fc1ccc(CCNCC2CCCN(CCOC(c3ccccc3)c3ccccc3)C2)cc1,tensor([6.4400])
CN(CCOC(c1ccccc1)c1ccccc1)C1CCN(CCCc2ccccc2)CC1,tensor([6.4800])
Fc1ccc(CCNC2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,tensor([6.5000])
CN(CCCc1ccccc1)C1CCN(CCOC(c2ccccc2)c2ccccc2)CC1,tensor([6.6800])
CN(CCc1ccc(F)cc1)CC1CCCN(CCOC(c2ccccc2)c2ccccc2)C1,tensor([5.9000])
c1ccc(CCCN2CCCC(CNCCOC(c3ccccc3)c3ccccc3)C2)cc1,tensor([6.8200])
c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,tensor([7.7500])
c1ccc(CCCNCC2CCCN(CCOC(c3ccccc3)c3ccccc3)C2)cc1,tensor([6.9800])
CCCC1C(c2ccc(C)cc2)CC2CC3CCN2C31,tensor([6.2400])
Cc1ccc(C2CC3CCC4C2C(O)(c2ccccc2)CN34)cc1,tensor([7.0500])
CCCC1(O)CN2C3CCC2C1C(c1ccc(C)cc1)C3,tensor([6.4300])
C=C1CN2C3CCC2C1C(c1ccc(C)cc1)C3,tensor([7.1700])
Cc1ccc(C2CC3CCC4C2C(C)(O)CN34)cc1,tensor([6.4100])
Cc1ccc(C2CC3CCC4C2C(O)(c2ccc(Cl)cc2)CN34)cc1,tensor([7.3600])
O=C1CN2C3CCC2C1C(c1ccc(F)cc1)C3,tensor([5.4800])
OC1(c2ccccc2)c2ccccc2C2=NCCN21,tensor([6.1400])
OC1(c2ccc(Cl)cc2)c2cc(Cl)c(Cl)cc2C2=NCCN21,tensor([8.2200])
Clc1ccc(C2c3ccccc3C3=NCCN32)cc1,tensor([8.2200])
COc1ccc(C2(O)c3ccccc3C3=NCCCN32)cc1,tensor([7.5200])
Oc1ccc(C2(O)c3ccccc3C3=NCCCN32)cc1,tensor([7.2300])
COc1cccc2c1C(O)(c1ccc(Cl)cc1)N1CCN=C21,tensor([7.2200])
COc1cccc2c1C1=NCCN1C2(O)c1ccc(Cl)cc1,tensor([7.3800])
OC1(c2ccc(Cl)cc2)c2cccc(F)c2C2=NCCN21,tensor([7.0400])
COc1ccc2c(c1)C(O)(c1ccc(Cl)cc1)N1CCN=C21,tensor([7.7800])
N#Cc1ccc(CCOC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,tensor([6.])
CCOc1ccc(CCNC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,tensor([6.])
O=C(OCCc1ccc(F)cc1)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,tensor([5.7800])
O=c1[nH]c2ccccc2n(C2CCN(Cc3cc4c(cc3Cl)OCO4)CC2)c1=O,tensor([5.8200])
N#Cc1ccc(CCOC(=O)NC2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,tensor([6.1100])
O=C(CCCc1ccccc1)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,tensor([6.0200])
