smiles,pchembl_value
CCn1c(C#Cc2ccccc2)nc2c(N)ncnc21,tensor([6.2200])
CCNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O,tensor([7.7000])
Nc1ncnc2c1nc(C=CC(=O)c1ccccc1)n2C1OC(CO)C(O)C1O,tensor([4.3300])
Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,tensor([9.8000])
NC1C(CO)OC(n2cnc3c(NCc4cccc(I)c4)ncnc32)C1O,tensor([7.1700])
NCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,tensor([6.2700])
NCCNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O,tensor([7.3400])
NCC1C(CO)OC(n2cnc3c(NCc4cccc(I)c4)ncnc32)C1O,tensor([7.1000])
Nc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,tensor([9.6600])
CNC(=O)C1OC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C(O)C1O,tensor([5.2700])
CNC(=O)C1SC(n2cnc3c(N)nc(Cl)nc32)C(O)C1O,tensor([6.8000])
CNC(=O)C1SC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C(O)C1O,tensor([6.6500])
CCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,tensor([5.9800])
CCCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,tensor([6.8500])
Nc1nc2c(cnn2CCCc2ccc3c(c2)OCO3)c2nc(-c3ccco3)nn12,tensor([8.4800])
COc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1OC,tensor([8.5700])
Nc1nc2c(cnn2CCCc2ccc(O)cc2)c2nc(-c3ccco3)nn12,tensor([8.8200])
OCC1OC(n2cnc3c(NC4CCCC4)nc(Cl)nc32)C(O)C1O,tensor([5.6400])
O=C(CCc1ccccc1)Nc1nc(NC2CCCC2)c2ncn(C3OC(CO)C(O)C3O)c2n1,tensor([5.2500])
Nc1nc(NC(=O)C=Cc2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O,tensor([5.3900])
Nc1nc(NC(=O)CC2CCCCC2)nc2c1ncn2C1OC(CO)C(O)C1O,tensor([5.6200])
Nc1nc(NC(=O)CCCC2CCCCC2)nc2c1ncn2C1OC(CO)C(O)C1O,tensor([5.7100])
CCNc1nc(NC(=O)CC2CCCCC2)nc2c1ncn2C1OC(CO)C(O)C1O,tensor([5.1100])
Nc1nc(NC(=O)CCC2CCCC2)nc2c1ncn2C1OC(CO)C(O)C1O,tensor([5.7000])
O=C(CCC1CCCC1)Nc1nc(NC2CCCC2)c2ncn(C3OC(CO)C(O)C3O)c2n1,tensor([5.6600])
CCNC(=O)C1OC(n2cnc3c(N)nc(NC(=O)CCC4CCCC4)nc32)C(O)C1O,tensor([4.9700])
Nc1nc(NC(=O)CCc2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O,tensor([5.3400])
O=c1c2c(nc3ccccn32)n(Cc2ccccc2)c(=O)n1CC1CC1,tensor([6.6200])
C=CCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,tensor([6.7900])
CCCn1c(=O)c2c(nc3cc(C(C)(C)C)ccn32)n(Cc2ccccc2)c1=O,tensor([6.4200])
O=c1c2c(nc3ccccn32)n(Cc2ccccc2)c(=O)n1Cc1ccccc1,tensor([4.5900])
CCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,tensor([6.2300])
CCCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O,tensor([6.9200])
COc1ccc(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)cc1,tensor([5.8600])
CCCCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,tensor([7.1000])
CCCCn1cc2c(nc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)n3nc(-c4ccco4)nc23)n1,tensor([6.3000])
O=C(Nc1cccc(Cl)c1)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,tensor([8.0200])
CCn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,tensor([6.4700])
Cn1cc2c(nc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)n3nc(-c4ccco4)nc23)n1,tensor([6.1600])
CCCn1cc2c(nc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)n3nc(-c4ccco4)nc23)n1,tensor([5.9500])
CCn1cc2c(nc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)n3nc(-c4ccco4)nc23)n1,tensor([6.2100])
CCCSc1c2c(nc(N)n3nc(-c4ccco4)nc23)nn1C,tensor([8.6800])
