smiles,pchembl_value
CCCn1c(=O)c2nc(-c3ccc(C=CC(=O)O)cc3)[nH]c2n(CCC)c1=O,tensor([7.2200])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4cccc(C(C)=O)c4)cc3)[nH]c2n(CCC)c1=O,tensor([8.3100])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(=O)OC)cc4)cc3)[nH]c2n(CCC)c1=O,tensor([8.4100])
CCCn1c(=O)c2nc(-c3ccc(C=CC(=O)Nc4ccccc4C(C)=O)cc3)[nH]c2n(CCC)c1=O,tensor([8.4400])
CCCn1c(=O)c2nc(-c3ccc(OCC(N)=O)cc3)[nH]c2n(CCC)c1=O,tensor([7.7900])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(=O)O)cc4)cc3)[nH]c2n(CCC)c1=O,tensor([7.7900])
O=C(O)C=Cc1ccc(-c2nc3c(=O)n(Cc4ccccc4)c(=O)n(Cc4ccccc4)c3[nH]2)cc1,tensor([6.3300])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(=O)NC)cc4)cc3)[nH]c2n(CCC)c1=O,tensor([8.4800])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccccc4C(C)=O)cc3)[nH]c2n(CCC)c1=O,tensor([8.5600])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(Cl)cc4)cc3)[nH]c2n(CCC)c1=O,tensor([8.6100])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(Br)cc4)cc3)[nH]c2n(CCC)c1=O,tensor([8.6300])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(F)cc4)cc3)[nH]c2n(CCC)c1=O,tensor([8.6500])
C=CCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CC=C)c1=O,tensor([6.8500])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(F)(F)F)cc4)cc3)[nH]c2n(CCC)c1=O,tensor([8.6700])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(I)cc4)cc3)[nH]c2n(CCC)c1=O,tensor([8.6700])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)NCc4ccccc4)cc3)[nH]c2n(CCC)c1=O,tensor([8.6900])
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)nc2n(CCC)c1=O,tensor([8.7100])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C)cc4)cc3)[nH]c2n(CCC)c1=O,tensor([8.7300])
CCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C)cc4)cc3)[nH]c2n(CC)c1=O,tensor([8.7500])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc([N+](=O)[O-])cc4)cc3)[nH]c2n(CCC)c1=O,tensor([8.8200])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccccc4)cc3)[nH]c2n(CCC)c1=O,tensor([8.8300])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(C)=O)cc4)cc3)[nH]c2n(CCC)c1=O,tensor([8.8600])
O=C(O)C=Cc1ccc(-c2nc3c(=O)n(CC4CCCCC4)c(=O)n(CC4CCCCC4)c3[nH]2)cc1,tensor([6.7000])
CCCn1c(=O)c2nc(-c3ccc(C=CC(=O)NN4C(=O)C(C)=C(C)C4=O)cc3)[nH]c2n(CCC)c1=O,tensor([7.7800])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)N(C)c4ccccc4)cc3)[nH]c2n(CCC)c1=O,tensor([8.2700])
CCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(CC(=O)NCCN)cc4)cc3)[nH]c2n(CC)c1=O,tensor([7.8200])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)ON4C(=O)CCC4=O)cc3)[nH]c2n(CCC)c1=O,tensor([8.0100])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)N(Cc4ccccc4)Cc4ccccc4)cc3)[nH]c2n(CCC)c1=O,tensor([8.0100])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)NC(c4ccccc4)c4ccccc4)cc3)[nH]c2n(CCC)c1=O,tensor([7.4700])
O=C(O)COc1ccc(-c2nc3c(=O)n(Cc4ccccc4)c(=O)n(Cc4ccccc4)c3[nH]2)cc1,tensor([5.7500])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(N)=O)cc4)cc3)[nH]c2n(CCC)c1=O,tensor([8.1100])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)N(CC(=O)OCC)CC(=O)OCC)cc3)[nH]c2n(CCC)c1=O,tensor([7.3600])
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)NN4C(=O)C(C)=C(C)C4=O)cc3)[nH]c2n(CCC)c1=O,tensor([7.5800])
CCCCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CCCC)c1=O,tensor([7.3200])
CCCn1c(=O)c2nc(-c3ccc(S(=O)(=O)Oc4cccc([N+](=O)[O-])c4)cc3)[nH]c2n(CCC)c1=O,tensor([7.3700])
CCCCn1c(=O)[nH]c2[nH]c(-c3ccc(S(=O)(=O)Oc4ccc([N+](=O)[O-])cc4)cc3)nc2c1=O,tensor([7.5800])
CCCn1c(=O)[nH]c2[nH]c(-c3ccc(S(=O)(=O)Oc4ccc([N+](=O)[O-])cc4)cc3)nc2c1=O,tensor([8.2700])
CCCCn1c(=O)[nH]c2[nH]c(-c3ccc(S(=O)(=O)Oc4cccc([N+](=O)[O-])c4)cc3)nc2c1=O,tensor([7.6400])
CCCn1c(=O)[nH]c2[nH]c(-c3ccc(S(=O)(=O)Oc4cccc([N+](=O)[O-])c4)cc3)nc2c1=O,tensor([7.8900])
CCCn1c(=O)c2nc(-c3ccc(S(=O)(=O)O)cc3)[nH]c2n(CCC)c1=O,tensor([6.6000])
OCC12CC1C(n1cnc3c(NCc4cccc(I)c4)nc(Cl)nc31)C(O)C2O,tensor([4.3900])
OCC12CC1C(n1cnc3c(NCc4cccc(I)c4)ncnc31)C(O)C2O,tensor([4.9200])
OCC1OC(n2cnc3c(NC4CCCC4)nc(Cl)nc32)C(O)C1O,tensor([4.6900])
Nc1ncnc2c1ncn2C1CC(CO)C(O)C1O,tensor([4.3300])
