smiles,pchembl_value
CCOC(=O)C1=C(c2ccccc2)N=C(C)C(=C(O)OCc2ccccc2)C1C=Cc1ccccc1,6.85
CCOC(=O)C1=C(c2ccccc2)N=C(C)C(=C(O)OCC)C1C=Cc1ccccc1,6.97
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],5.08
CCOC(=O)C1=C(c2ccccc2)N=C(C)C(=C(O)OCc2ccccc2)C1C#Cc1ccccc1,6.77
CCOC(=O)C1=C(c2ccccc2)N=C(C)C(=C(O)OCC)C1C=C(c1ccccc1)c1ccccc1,5.85
COC(O)=C1C(C)=NC(C)=C(C(=O)OCc2ccccc2)C1C,5.56
CCOC(O)=C1C(C)=NC(c2ccccc2)=C(C(=O)OCc2ccccc2)C1C#Cc1ccccc1,7.5
COC(=O)C=CNc1cc(-c2ccncc2)nc2c1c(C)c(C)n2C(C)c1ccccc1,5.58
Cc1c(C)n(C(C)c2ccccc2)c2nc(-c3ccccc3)nc(NC3CCCC3)c12,5.06
Cn1c(=O)n(CCCc2ccccc2)c(=O)c2[nH]cnc21,5.06
O=c1[nH]c2[nH]cnc2c(=O)n1C1CCCC1,6.19
Cn1c(=O)n(Cc2ccccc2)c(=O)c2[nH]cnc21,5.35
Cn1c(=O)n(CCc2ccccc2)c(=O)c2[nH]cnc21,5.16
C=CCn1c(=O)[nH]c2[nH]cnc2c1=O,4.79
CCCn1c(=O)[nH]c2[nH]cnc2c1=O,5.62
C#CCn1c(=O)c2[nH]cnc2n(C)c1=O,4.96
CNC(=O)C1SC(n2cnc3c(NC)nc(Cl)nc32)C(O)C1O,9.55
CNC(=O)C1SC(n2cnc3c(N)nc(Cl)nc32)C(O)C1O,9.4
CCCCc1nc2[nH]cnc2c2nc(-c3ccc(OC)cc3)nn12,9.74
CONc1nc(Cl)nc2c1ncn2C1OC(CCl)C(O)C1O,7.58
C=CC1OC(n2cnc3c(NOC)nc(Cl)nc32)C(O)C1O,7.7
CNC(=O)C1OC(n2cnc3c(NCc4ccccc4)ncnc32)C(O)C1O,7.39
OC1C(c2ccon2)OC(n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)C1O,8.11
CCn1cc2c(nc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)n3nc(-c4ccco4)nc23)n1,9.19
CCCOC(=O)c1c(CCSC(C)=O)c(C(=O)SCC)c(CC)[n+](C)c1-c1ccccc1,6.27
