smiles,5b0fe37d404cd3c110d464704646dcec,7a083153dc1a4e27feebc9565d0a681c,7f73c5dd89b7b6d8ca56c162eee39ae0,950edee628a799c6d21b79616a3c2922,9a0ea9c5d064d5578aba12a00c1e51d1,aab458b586520ad6a82e21e396e745fa,b311698a3b8d92f7eeb6ecfd51b6b912,c02b8a8e4ddc27e1417faae80508bff2,c6eb716f36a79621c8c73c735dd764f1,d2bb6d3d58b1bcb29df748e0c133c4f1,de4ea86d93119b0ed700c0fefbdba03a,f626eefe954fd8d53aed7403a4e04df7
C#CCC(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC1CSSCC2NC(=O)C3CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NCC(=O)O)C(C)CC)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(CC(C)C)NC(=O)C(CCCCN)NC(=O)C(CSSCC(NC(=O)C(C(C)O)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(CCCC)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(CCCCN)NC(=O)C(CCC(N)=O)NC1=O)C(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)N3)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CCC(=O)O)NC2=O,0.0,0.0,0.0,8.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCC(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC1CSSCC2NC(=O)C3CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCC(=O)O)C(=O)NC(C(N)=O)C(C)CC)NC(=O)C(Cc4c[nH]c5c(Br)cccc45)NC(=O)C(CC(C)C)NC(=O)C(CCCCN)NC(=O)C(CSSCC(NC(=O)C(C(C)O)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(CCCC)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(CCCCN)NC(=O)C(CCC(N)=O)NC1=O)C(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)N3)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CCC(=O)O)NC2=O,0.0,0.0,0.0,7.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCC(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC1CSSCC2NC(=O)C3CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCC(=O)O)C(=O)NC(C(N)=O)C(C)CC)NC(=O)C(Cc4c[nH]c5cc(Br)ccc45)NC(=O)C(CC(C)C)NC(=O)C(CCCCN)NC(=O)C(CSSCC(NC(=O)C(C(C)O)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(CCCC)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(CCCCN)NC(=O)C(CCC(N)=O)NC1=O)C(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)N3)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CCC(=O)O)NC2=O,0.0,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCC(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC1CSSCC2NC(=O)C3CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCC(=O)O)C(=O)NC(C(N)=O)C(C)CC)NC(=O)C(Cc4c[nH]c5cc(C)ccc45)NC(=O)C(CC(C)C)NC(=O)C(CCCCN)NC(=O)C(CSSCC(NC(=O)C(C(C)O)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(CCCC)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(CCCCN)NC(=O)C(CCC(N)=O)NC1=O)C(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)N3)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CCC(=O)O)NC2=O,0.0,0.0,0.0,7.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCC(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC1CSSCC2NC(=O)C3CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCC(=O)O)C(=O)NC(C(N)=O)C(C)CC)NC(=O)C(Cc4c[nH]c5ccc(Br)cc45)NC(=O)C(C4CCCCC4)NC(=O)C(CCCCN)NC(=O)C(CSSCC(NC(=O)C(C(C)O)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(CCCC)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(CCCCN)NC(=O)C(CCC(N)=O)NC1=O)C(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)N3)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CCC(=O)O)NC2=O,0.0,0.0,0.0,7.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCC(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC1CSSCC2NC(=O)C3CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCC(=O)O)C(=O)NC(C(N)=O)C(C)CC)NC(=O)C(Cc4c[nH]c5ccc(Br)cc45)NC(=O)C(CC(C)C)NC(=O)C(CCCCN)NC(=O)C(CSSCC(NC(=O)C(C(C)O)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(CCCC)NC(=O)C(CCc4ccccc4)NC(=O)C(CCCCN)NC(=O)C(CCC(N)=O)NC1=O)C(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)N3)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CCC(=O)O)NC2=O,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCC(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC1CSSCC2NC(=O)C3CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCC(=O)O)C(=O)NC(C(N)=O)C(C)CC)NC(=O)C(Cc4c[nH]c5ccc(Br)cc45)NC(=O)C(CC(C)C)NC(=O)C(CCCCN)NC(=O)C(CSSCC(NC(=O)C(C(C)O)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(CCCC)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(CCCCN)NC(=O)C(CCC(N)=O)NC1=O)C(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)N3)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CCC(=O)O)NC2=O,0.0,0.0,0.0,9.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCC(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC1CSSCC2NC(=O)C3CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCC(=O)O)C(=O)NC(C(N)=O)C(C)CC)NC(=O)C(Cc4c[nH]c5ccc(Cl)cc45)NC(=O)C(CC(C)C)NC(=O)C(CCCCN)NC(=O)C(CSSCC(NC(=O)C(C(C)O)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(CCCC)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(CCCCN)NC(=O)C(CCC(N)=O)NC1=O)C(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)N3)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CCC(=O)O)NC2=O,0.0,0.0,0.0,8.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCC(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC1CSSCC2NC(=O)C3CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCC(=O)O)C(=O)NC(C(N)=O)C(C)CC)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(C(C)CC)NC(=O)C(CCCCN)NC(=O)C(CSSCC(NC(=O)C(C(C)O)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(CCCC)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(CCCCN)NC(=O)C(CCC(N)=O)NC1=O)C(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)N3)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CCC(=O)O)NC2=O,0.0,0.0,0.0,8.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#CCC(N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC1CSSCC2NC(=O)C3CSSCC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCC(=O)O)C(=O)NC(C(N)=O)C(C)CC)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(C4CCCCC4)NC(=O)C(CCCCN)NC(=O)C(CSSCC(NC(=O)C(C(C)O)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(CCCC)NC(=O)C(Cc4c[nH]c5ccccc45)NC(=O)C(CCCCN)NC(=O)C(CCC(N)=O)NC1=O)C(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(C)C(=O)N3)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CCC(=O)O)NC2=O,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
