smiles,177e811e75430142a666759fd698b6e5,5b0fe37d404cd3c110d464704646dcec,620b5ed985061392ed8aae9f9528d061,6fa320bfcd6509c7afae3ec8401badd8,78d09c9bdd2584d3854a898d227d641f,7f73c5dd89b7b6d8ca56c162eee39ae0,950edee628a799c6d21b79616a3c2922,9a0ea9c5d064d5578aba12a00c1e51d1,aab458b586520ad6a82e21e396e745fa,b311698a3b8d92f7eeb6ecfd51b6b912,c1d4611dffa813a26fd1034c25cabde3,c6eb716f36a79621c8c73c735dd764f1,cec89ffbb36294b123484faf17ab3a30,d2bb6d3d58b1bcb29df748e0c133c4f1,de4ea86d93119b0ed700c0fefbdba03a,fdec110d610fe1b09f58d831c373b615
Brc1ccc(-n2cc(CN3CCc4c([nH]c5ccccc45)C3)nn2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#Cc1ccc(C(=O)Nc2ccc3sc(CO)nc3c2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.76,0.0
C=C(C)C12CC(C)C3(OCc4ccccc4)C(C=C(COC(=O)Cc4cc(I)c(O)c(OC)c4)CC4(O)C(=O)C(C)=CC43)C1OCO2,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)C12CC(C)C34OC(Cc5ccccc5)(OC1C3C=C(COC(=O)Cc1cc(I)c(O)c(OC)c1)CC1(O)C(=O)C(C)=CC14)O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0
C=C(C)C12CC(C)C34OC(Cc5ccccc5)(OC1C3C=C(COC(=O)Cc1ccc(O)c(OC)c1I)CC1(O)C(=O)C(C)=CC14)O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.57,0.0,0.0
C=C(C)C1CCC(C)=CC1c1c(O)cc(CCC)cc1O,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)C1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O,0.0,0.0,0.0,0.0,0.0,0.0,5.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CCC1c2ccc(F)cc2CCC1NC(=O)Nc1cccc2cnccc12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
C=CCNC(=O)CCCCCCCOc1cc(O)cc(C(C)(C)CCCCCC)c1,0.0,0.0,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=Cc1cc(CNC(=O)CCCCCCCC)cc(OC)c1O,0.0,0.0,0.0,0.0,0.0,0.0,6.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
