SMILES,AZ_LogD7.4,LogP,LogP_chembl,SLogD,SLogP
BrC(Br)(Br)Br,,3.42,,3.11786,3.11786
BrC(Br)Br,,2.535,2.38,2.13842,2.13842
BrC1C2CC3C(C2)C13,,3.11,,2.80787,2.80787
BrC1CC2CCC1C2,,3.54,,3.3427,3.3427
BrC1CCCCC1,,3.2,,3.34765,3.34765
BrC=C(Br)Br,,3.2,,2.9141,2.9141
BrC=CBr,,1.76,,2.31981,2.31981
BrCBr,,1.79,,1.58903,1.58903
BrCC(CBr)(CBr)CBr,,3.99,,4.05399,4.05399
BrCC1CO1,,0.85,,0.743474,0.743474
BrCCBr,,1.96,,2.04852,2.04852
BrCCCBr,,2.37,,2.4501,2.4501
BrCCCc1ccccc1,,3.72,,3.8764,3.8764
BrCCc1ccccc1,,3.09,,3.37875,3.37875
BrCc1ccccc1,,2.92,,2.90575,2.90575
Brc1c(-c2ccc3c(c2)OCO3)nc2ncccn12,,,3.48,2.14957,2.14958
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,,6.07,,6.23305,6.23305
Brc1c2ccccc2c(Br)c2ccccc12,,6.29,,5.82314,5.82314
Brc1c2ccccc2cc2ccccc12,,5.37,,5.26121,5.26121
Brc1cc(Br)c(-c2ccccc2)c(Br)c1,,6.03,,6.04946,6.04946
Brc1cc(Br)c(Br)c(-c2c(Br)c(Br)cc(Br)c2Br)c1Br,,5.5,,8.30987,8.30987
Brc1cc(Br)c(Br)cc1Br,,5.13,,5.13112,5.13112
Brc1cc(Br)c(NC2=NCCN2)c(Br)c1,,2.54,,-0.0882238,2.60177
Brc1cc(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)cc1Br,,8.71,,8.44778,8.44778
Brc1cc(Br)c(Oc2c(Br)cc(Br)c(Br)c2Br)cc1Br,,8.27,,8.05225,8.05225
Brc1cc(Br)c(Oc2cc(Br)c(Br)c(Br)c2)cc1Br,,7.4,,7.58365,7.58365
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,,7.82,,7.61915,7.61915
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,,7.9,,7.59762,7.59762
Brc1cc(Br)c2ccc3cccc4ccc1c2c43,,6.85,,6.53241,6.53241
Brc1cc(Br)cc(Br)c1,,4.51,,4.5382,4.5382
Brc1cc(Br)cc(COC[C@H](c2ccccc2)N2CCNCC2)c1,2.8,,,2.40434,4.16192
Brc1cc2ccc3cccc4ccc(c1)c2c34,,5.8,,5.93342,5.93342
Brc1cc2cccc3ccc4cccc1c4c32,,5.84,,5.79942,5.79942
Brc1cc2ccccc2nn1,,1.72,,1.86107,1.86107
Brc1cc2oc3cc(Br)c(Br)cc3c2cc1Br,,6.1,,6.32396,6.32396
Brc1ccc(-c2cc3ccccn3c2)cc1,,5.43,,5.25263,5.25263
Brc1ccc(-c2ccc(Br)cc2)cc1,,5.72,,5.56315,5.56315
Brc1ccc(-c2ccccc2)cc1,,4.96,,4.88377,4.88377
Brc1ccc(Br)c(-c2cc(Br)c(Br)cc2Br)c1,,7.1,,7.09497,7.09497
Brc1ccc(Br)c(NC2=NCCN2)c1,,2.71,,-0.579443,2.10022
Brc1ccc(Br)cc1,,3.79,,3.72528,3.72528
Brc1ccc(NC2=NCCN2)cc1,,1.75,,-1.09573,1.65273
Brc1ccc(OCC2CCN(CC3CC3)CC2)cc1,,,6.22,2.68179,4.63192
Brc1ccc(OCc2nc3ccccc3[nH]2)c(Br)c1,,,4.52,4.40298,4.40353
Brc1ccc(OCc2nc3ccccc3[nH]2)cc1,,,3.77,3.6986,3.69915
Brc1ccc(O[Si]23OCCN(CCO2)CCO3)cc1,,0.58,,2.61139,2.85118
Brc1ccc(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,,7.24,,7.17579,7.17579
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,,7.32,,7.16616,7.16616
Brc1ccc(Oc2ccc(Br)c(Br)c2Br)c(Br)c1,,7.37,,7.1685,7.1685
Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,,6.81,,6.6358,6.6358
Brc1ccc(Oc2ccc(Br)cc2Br)cc1,,5.94,,6.11456,6.11456
Brc1ccc(Oc2ccccc2Br)c(Br)c1,,5.74,,6.06785,6.06785
Brc1ccc2[nH]cc(CNCc3cc(-c4ccccc4)no3)c2c1,,,4.227,4.41835,4.68922
Brc1ccc2[nH]ccc2c1,,3,,3.13308,3.13308
Brc1ccc2c(c1)[nH]c1c3c4ccccc4nc-3c[nH]c12,,,4.73,3.50789,4.42438
Brc1ccc2ccc3c(Br)ccc4ccc1c2c43,,6.69,,6.46485,6.46485
Brc1ccc2ccc3ccc(Br)c4ccc1c2c34,,6.73,,6.45925,6.45925
Brc1ccc2ccc3cccc4ccc1c2c34,,5.81,,5.8502,5.8502
Brc1ccc2cccnc2c1,,2.92,,2.96202,2.96221
Brc1ccc2ncccc2c1,,2.83,,2.95962,2.95974
Brc1cccc(-c2ccccc2)c1,,4.85,,4.83944,4.83944
Brc1cccc(-c2cnc(SCCc3cnc[nH]3)[nH]2)c1,,3.76,,3.54784,3.6162
Brc1cccc(Br)c1,,3.75,,3.67339,3.67339
Brc1cccc(Br)c1NC1=NCCN1,,1.96,,-0.804114,2.01281
Brc1cccc(Br)c1OCc1nc2ccccc2[nH]1,,,4.42,4.34965,4.35016
Brc1cccc(NC2=NCCN2)c1Br,,2.16,,-0.634555,2.08757
Brc1cccc(OCC2CCN(CC3CC3)CC2)c1,,,6.36,2.73484,4.65688
Brc1cccc(O[Si]23OCCN(CCO2)CCO3)c1,,0.26,,2.65978,2.90174
Brc1cccc(Oc2ccc(Br)c(Br)c2Br)c1,,6.05,,6.64903,6.64903
Brc1ccccc1,,2.99,2.99,2.98241,2.98241
Brc1ccccc1-c1ccccc1,,4.59,,4.6261,4.6261
Brc1ccccc1Br,,3.64,,3.69329,3.69329
Brc1ccccc1OCc1nc2ccccc2[nH]1,,,3.51,3.62601,3.6265
Brc1ccccn1,,1.42,1.38,1.57566,1.57566
Brc1cccnc1,,1.6,,1.56585,1.56586
Brc1cccs1,,2.75,,2.67268,2.67268
Brc1ccncc1,,1.54,1.54,1.59744,1.59772
Brc1ccoc1,,2.18,,1.96742,1.96742
Brc1ccsc1,,2.62,,2.64195,2.64195
Brc1ccsc1Br,,3.53,,3.40473,3.40473
