prefix,n_train,n_calib,n_test,n_test_active,n_calib_neg,auroc_test,auprc_test,conformal_ran,fdr02_n_selected,fdr02_true_fdr,fdr02_n_actives
CHEMBL217_Ki_CHEMBL1176478,619,309,310,22,43,0.6731141199226306,0.5606888305115155,True,0,,0
CHEMBL217_Ki_CHEMBL1225816,619,309,310,19,37,0.7757894736842106,0.619108443326474,True,0,,0
CHEMBL217_Ki_CHEMBL1694505,619,309,310,25,42,0.7616666666666667,0.6973174196684082,True,0,,0
CHEMBL217_Ki_CHEMBL1777183,619,309,310,18,41,0.8118908382066277,0.6356842035903725,True,0,,0
CHEMBL217_Ki_CHEMBL2162846,619,309,310,20,39,0.7736842105263159,0.6198261082482033,True,8,0.25,6
CHEMBL217_Ki_CHEMBL2344228,619,309,310,22,37,0.8543388429752066,0.8076156299763563,True,0,,0
CHEMBL217_Ki_CHEMBL2388819,619,309,310,27,35,0.7490551776266061,0.6224146820697873,True,0,,0
CHEMBL217_Ki_CHEMBL3117737,619,309,310,25,39,0.736326530612245,0.650330708075314,True,0,,0
CHEMBL217_Ki_CHEMBL3374187,619,309,310,21,38,0.8541033434650456,0.7478036676154947,True,0,,0
CHEMBL217_Ki_CHEMBL3379351,619,309,310,18,33,0.8569739952718676,0.736013539522476,True,11,0.2727272727272727,8
CHEMBL217_Ki_CHEMBL3591124,619,309,310,21,36,0.8422619047619048,0.7352154084691822,True,0,,0
CHEMBL217_Ki_CHEMBL3599873,619,309,310,22,33,0.7602495543672014,0.6253464302616454,True,11,0.2727272727272727,8
CHEMBL217_Ki_CHEMBL3762401,619,309,310,23,39,0.8418131359851989,0.7651791247997857,True,0,,0
CHEMBL217_Ki_CHEMBL3857974,619,309,310,23,42,0.8332015810276681,0.7353661144150974,True,0,,0
CHEMBL217_Ki_CHEMBL4011211,619,309,310,22,36,0.8102766798418973,0.7121308083697198,True,0,,0
CHEMBL217_Ki_CHEMBL4350893,619,309,310,24,41,0.7842592592592593,0.6601884094018156,True,0,,0
CHEMBL217_Ki_CHEMBL4354013,619,309,310,25,38,0.8146938775510204,0.6867182990727884,True,10,0.3,7
CHEMBL217_Ki_CHEMBL4429153,619,309,310,25,37,0.8272340425531914,0.7842131006425015,True,20,0.3,14
CHEMBL217_Ki_CHEMBL4629186,619,309,310,25,39,0.8640000000000001,0.7733956542739969,True,0,,0
CHEMBL217_Ki_CHEMBL4819277,619,309,310,20,40,0.8727272727272727,0.8223546380292357,True,0,,0
CHEMBL217_Ki_CHEMBL863653,619,309,310,22,40,0.8026315789473685,0.776242176455138,True,0,,0
CHEMBL217_Ki_CHEMBL895648,619,309,310,23,44,0.7447045707915273,0.724119876429638,True,7,0.0,7
CHEMBL217_Ki_CHEMBL897619,619,309,310,26,43,0.8309716599190283,0.7530768122047862,True,11,0.2727272727272727,8
CHEMBL217_Ki_CHEMBL902495,619,309,310,27,40,0.8011695906432748,0.7342629079623955,True,24,0.2916666666666667,17
CHEMBL217_Ki_CHEMBL926379,619,309,310,22,44,0.866600790513834,0.7694744677048362,True,0,,0
