prefix,n_train,n_calib,n_test,n_test_active,n_calib_neg,auroc_test,auprc_test,conformal_ran,fdr02_n_selected,fdr02_true_fdr,fdr02_n_actives,ks_distances
CHEMBL1865_IC50_CHEMBL2427136,327,176,133,69,108,0.662590579710145,0.7451957590954662,True,19,0.05263157894736842,18,"{'ks_neg': (0.9005151768309692, 0.8872180451127847), 'ks_nc': (0.8210440874914585, 0.6291422303345958)}"
CHEMBL1865_IC50_CHEMBL3860994,327,176,133,69,108,0.7058423913043479,0.7568032753280978,True,10,0.1,9,"{'ks_neg': (0.9005151768309692, 0.8872180451127847), 'ks_nc': (0.8210440874914585, 0.6291422276749381)}"
CHEMBL1865_IC50_CHEMBL4331290,327,176,133,69,108,0.6677989130434783,0.7404968080505377,True,20,0.15,17,"{'ks_neg': (0.9005151768309692, 0.8872180451127847), 'ks_nc': (0.8210440874914585, 0.6291422303345958)}"
CHEMBL1865_IC50_CHEMBL4708169,327,176,133,69,108,0.7368659420289856,0.780377836062178,True,0,,0,"{'ks_neg': (0.9005151768309692, 0.8872180451127847), 'ks_nc': (0.8210440874914585, 0.6291422329724186)}"
CHEMBL1865_IC50_CHEMBL4812485,327,176,133,69,108,0.7377717391304347,0.7814351046557283,True,0,,0,"{'ks_neg': (0.9005151768309692, 0.8872180451127847), 'ks_nc': (0.8210440874914585, 0.6291422277180806)}"
CHEMBL1865_IC50_CHEMBL4828678,327,176,133,69,108,0.7142210144927537,0.7498901401164857,True,0,,0,"{'ks_neg': (0.9005151768309692, 0.8872180451127847), 'ks_nc': (0.8210440874914585, 0.6291422278048984)}"
CHEMBL2039_IC50_CHEMBL3806786,280,155,95,13,120,0.6604127579737336,0.3054567404222638,True,0,,0,"{'ks_neg': (0.9245614035087729, 0.8442841063168164), 'ks_nc': (0.9256366723259772, 0.8090623912059645)}"
CHEMBL214_Ki_CHEMBL1034993,493,270,203,132,123,0.8349338454972258,0.916471586855541,True,85,0.058823529411764705,80,"{'ks_neg': (0.6004645760743313, 0.4855458358045601), 'ks_nc': (0.6461047254150691, 0.3542238421900903)}"
CHEMBL214_Ki_CHEMBL2162844,489,270,207,137,123,0.816266944734098,0.899681091428187,True,113,0.13274336283185842,98,"{'ks_neg': (0.6496995404736675, 0.5283426182987918), 'ks_nc': (0.6644122383252838, 0.39072896345083336)}"
CHEMBL214_Ki_CHEMBL3404596,492,270,204,132,123,0.8370159932659933,0.9161457258319032,True,101,0.10891089108910891,90,"{'ks_neg': (0.5969631755141066, 0.4823481149794505), 'ks_nc': (0.6420479302832225, 0.35148478995034665)}"
CHEMBL214_Ki_CHEMBL3744655,492,270,204,132,123,0.8430134680134681,0.9174275536764955,True,82,0.04878048780487805,78,"{'ks_neg': (0.5969631755141066, 0.4823480202258546), 'ks_nc': (0.6420479302832225, 0.35147855107437476)}"
CHEMBL214_Ki_CHEMBL3762237,489,270,207,137,123,0.8173096976016684,0.9027535823165855,True,114,0.14035087719298245,98,"{'ks_neg': (0.6496995404736675, 0.5283426182737898), 'ks_nc': (0.6644122383252838, 0.4054768680274875)}"
CHEMBL214_Ki_CHEMBL3857972,493,270,203,132,123,0.8153008962868117,0.8992860621252519,True,90,0.1111111111111111,80,"{'ks_neg': (0.6004645760743313, 0.48554583420366015), 'ks_nc': (0.6461047254150691, 0.35422381780593754)}"
CHEMBL214_Ki_CHEMBL4629187,492,270,204,132,123,0.8272306397306396,0.9088300903151372,True,73,0.0547945205479452,69,"{'ks_neg': (0.5969631755141066, 0.4823481149794505), 'ks_nc': (0.6420479302832225, 0.37418060750039484)}"
CHEMBL214_Ki_CHEMBL4770540,492,270,204,132,123,0.8186026936026936,0.9041579844789063,True,88,0.07954545454545454,81,"{'ks_neg': (0.5969631755141066, 0.4823481149794505), 'ks_nc': (0.6420479302832225, 0.35148151849234605)}"
CHEMBL214_Ki_CHEMBL4772297,492,270,204,132,123,0.8259680134680134,0.9071916175990761,True,77,0.06493506493506493,72,"{'ks_neg': (0.5969631755141066, 0.4823481149794505), 'ks_nc': (0.6420479302832225, 0.3514791617514016)}"
