prefix,n_train,n_calib,n_test,n_test_active,n_calib_neg,auroc_test,auprc_test,conformal_ran,fdr02_n_selected,fdr02_true_fdr,fdr02_n_actives,ks_distances
CHEMBL1865_IC50_CHEMBL2427136,318,159,159,82,86,0.8787708600770219,0.8828865975440133,True,55,0.12727272727272726,48,"{'ks_neg': (0.11569031498380944, 0.11569031239598104), 'ks_nc': (0.14732107316296433, 0.02531645576540026)}"
CHEMBL1865_IC50_CHEMBL3860994,318,159,159,72,74,0.8654214559386973,0.7975562725119595,True,31,0.12903225806451613,27,"{'ks_neg': (0.18527961924188396, 0.1852788048286742), 'ks_nc': (0.11949685534591195, 0.028301887026941683)}"
CHEMBL1865_IC50_CHEMBL4331290,318,159,159,77,69,0.897687678175483,0.8842375415721843,True,49,0.12244897959183673,43,"{'ks_neg': (0.10746513535684996, 0.10746513245697034), 'ks_nc': (0.10353475041796079, 0.01886808583269256)}"
CHEMBL1865_IC50_CHEMBL4708169,318,159,159,79,78,0.8908027559685948,0.8924738734978893,True,62,0.12903225806451613,54,"{'ks_neg': (0.157903278156443, 0.15790201201066217), 'ks_nc': (0.07093384284690651, 0.025316456293222322)}"
CHEMBL1865_IC50_CHEMBL4812485,318,159,159,80,74,0.9037974683544304,0.9080666520118488,True,13,0.0,13,"{'ks_neg': (0.11796702362740069, 0.11796702019442168), 'ks_nc': (0.1006289308176101, 0.03144654088050436)}"
CHEMBL1865_IC50_CHEMBL4828678,318,159,159,81,74,0.9210193099081988,0.9187721661617336,True,54,0.07407407407407407,50,"{'ks_neg': (0.07708652048274567, 0.0770865203976927), 'ks_nc': (0.11046095056126148, 0.0634457193332465)}"
CHEMBL2039_IC50_CHEMBL3806786,265,132,133,24,101,0.8765290519877675,0.6443324557743418,True,0,,0,"{'ks_neg': (0.15648030968510374, 0.1112380932146092), 'ks_nc': (0.1380724538619299, 0.022556405138042232)}"
CHEMBL214_Ki_CHEMBL1034993,483,241,242,116,115,0.9231663929939792,0.91686333005979,True,105,0.09523809523809523,95,"{'ks_neg': (0.07786561264821967, 0.028925619853467976), 'ks_nc': (0.06515551592880953, 0.015780549228134322)}"
CHEMBL214_Ki_CHEMBL2162844,483,241,242,117,125,0.9248001102839812,0.9364565035147979,True,87,0.022988505747126436,85,"{'ks_neg': (0.10695435684647026, 0.02904566842560724), 'ks_nc': (0.0663900414937757, 0.019089701812158633)}"
CHEMBL214_Ki_CHEMBL3404596,483,241,242,105,129,0.9429266597149809,0.9330449558471561,True,44,0.0,44,"{'ks_neg': (0.08200397206739996, 0.02479338844751966), 'ks_nc': (0.06904770069613575, 0.014462809917379249)}"
CHEMBL214_Ki_CHEMBL3744655,483,241,242,108,112,0.9136730715678083,0.9016278376500392,True,34,0.058823529411764705,32,"{'ks_neg': (0.1125148192056909, 0.04135180590867943), 'ks_nc': (0.12033195020746845, 0.022821577118937397)}"
CHEMBL214_Ki_CHEMBL3762237,483,241,242,111,115,0.9303349150677395,0.9135723152330737,True,89,0.0898876404494382,81,"{'ks_neg': (0.07333812432626645, 0.03512396755610714), 'ks_nc': (0.08129007921538939, 0.016528925999550324)}"
CHEMBL214_Ki_CHEMBL3857972,483,241,242,105,113,0.8904761904761904,0.8854930657750436,True,57,0.08771929824561403,52,"{'ks_neg': (0.12352660375279823, 0.02282157677273964), 'ks_nc': (0.05809128630705376, 0.02282157677460896)}"
CHEMBL214_Ki_CHEMBL4629187,483,241,242,104,121,0.9185148792813027,0.9153709377646252,True,0,,0,"{'ks_neg': (0.11937176365693908, 0.0331950207468914), 'ks_nc': (0.11298409405255909, 0.016597510543168097)}"
CHEMBL214_Ki_CHEMBL4770540,483,241,242,100,114,0.9352112676056338,0.9234467674935714,True,54,0.018518518518518517,53,"{'ks_neg': (0.09170653907496013, 0.030991735537198195), 'ks_nc': (0.08804567744590425, 0.018595042938732265)}"
CHEMBL214_Ki_CHEMBL4772297,483,241,242,110,127,0.9065232477446219,0.9092264846966519,True,96,0.125,84,"{'ks_neg': (0.09269121442807138, 0.028880737000755552), 'ks_nc': (0.07781811894882396, 0.010373464475674554)}"
