prefix,n_train,n_calib,n_test,n_test_active,n_calib_neg,auroc_test,auprc_test,conformal_ran,fdr02_n_selected,fdr02_true_fdr,fdr02_n_actives,ks_distances
CHEMBL1865_IC50_CHEMBL2427136,320,158,158,59,88,0.8947098099640473,0.8082244548373475,True,54,0.2222222222222222,42,"{'ks_neg': (0.46188147295742404, 0.46187986945574394), 'ks_nc': (0.46835443037974667, 0.3490212113906124)}"
CHEMBL1865_IC50_CHEMBL3860994,320,158,158,86,70,0.846053062561415,0.8723163505897038,True,34,0.08823529411764706,31,"{'ks_neg': (0.35159235668789796, 0.3515923566875626), 'ks_nc': (0.46004998790615154, 0.22929936305732482)}"
CHEMBL1865_IC50_CHEMBL4331290,320,158,158,103,92,0.776878820568141,0.8573682831484799,True,76,0.14473684210526316,65,"{'ks_neg': (0.49148435336471896, 0.49148325043458974), 'ks_nc': (0.4472305087478834, 0.20930776928941563)}"
CHEMBL1865_IC50_CHEMBL4708169,320,158,158,89,78,0.7775941837409122,0.8077170045285036,True,64,0.171875,53,"{'ks_neg': (0.4946921443736728, 0.49469065857278993), 'ks_nc': (0.5550673224219945, 0.2905940115988918)}"
CHEMBL1865_IC50_CHEMBL4812485,320,158,158,88,78,0.7961038961038961,0.7735274243513528,True,0,,0,"{'ks_neg': (0.5238558909444986, 0.5238552508326014), 'ks_nc': (0.4991131177940822, 0.3556126196316073)}"
CHEMBL1865_IC50_CHEMBL4828678,320,158,158,79,60,0.7961865085723442,0.8056517676829968,True,0,,0,"{'ks_neg': (0.518776371308018, 0.5187747540852531), 'ks_nc': (0.5049987906151743, 0.2872691418023645)}"
CHEMBL2039_IC50_CHEMBL3806786,267,131,132,31,91,0.8051740657936762,0.6617204561938196,True,38,0.39473684210526316,23,"{'ks_neg': (0.6291208791208786, 0.6291202838769673), 'ks_nc': (0.6507633587786255, 0.4905557425607004)}"
CHEMBL214_Ki_CHEMBL1034993,485,240,241,132,117,0.8828235627301048,0.9083149612245913,True,87,0.08045977011494253,80,"{'ks_neg': (0.5197940135178619, 0.3858324598428594), 'ks_nc': (0.356921199442119, 0.037097496614313635)}"
CHEMBL214_Ki_CHEMBL2162844,485,240,241,116,125,0.8344137931034482,0.8291759279878209,True,71,0.14084507042253522,61,"{'ks_neg': (0.4001991701244801, 0.23236514522821608), 'ks_nc': (0.3227869986168733, 0.047717842323718646)}"
CHEMBL214_Ki_CHEMBL3404596,485,240,241,122,103,0.7735743309513802,0.8186157554760558,True,80,0.125,70,"{'ks_neg': (0.5179753828654992, 0.4681740631417203), 'ks_nc': (0.48582635983263583, 0.16182620276809728)}"
